step,ARH_Accuracy,Baseline_Accuracy,ARH_Dissonance,ARH_Nodes
237,99.5,53.5,0.0,5
238,99.5,54.0,0.0,5
239,99.5,54.0,0.0,5
240,99.5,54.0,0.0,5
241,99.5,54.50000000000001,0.0,5
242,99.5,54.50000000000001,0.0,5
243,99.5,54.50000000000001,0.0,5
244,99.5,54.50000000000001,0.0,5
245,99.5,55.00000000000001,0.0,5
246,99.5,55.00000000000001,0.0,5
247,99.5,55.00000000000001,0.0,5
248,99.5,55.50000000000001,0.0,5
249,99.5,55.00000000000001,0.0,5
250,99.5,55.00000000000001,0.0,5
251,99.5,55.50000000000001,0.0,5
252,99.5,55.50000000000001,0.0,5
253,99.5,55.50000000000001,0.0,5
254,99.5,55.00000000000001,0.0,5
255,99.5,55.50000000000001,0.0,5
256,99.5,56.00000000000001,0.0,5
257,99.5,56.00000000000001,0.0,5
258,99.5,55.50000000000001,0.0,5
259,99.5,55.00000000000001,0.0,5
260,99.5,55.00000000000001,0.0,5
261,99.5,55.00000000000001,0.0,5
262,99.5,55.50000000000001,0.0,5
263,99.5,55.00000000000001,0.0,5
264,99.5,55.50000000000001,0.0,5
265,99.5,55.50000000000001,0.0,5
266,99.5,55.00000000000001,0.0,5
267,99.5,55.00000000000001,0.0,5
268,99.5,54.50000000000001,0.0,5
269,99.5,54.0,0.0,5
270,99.5,54.50000000000001,0.0,5
271,99.5,54.50000000000001,0.0,5
272,99.5,54.50000000000001,0.0,5
273,99.5,55.00000000000001,0.0,5
274,99.5,55.00000000000001,0.0,5
275,99.5,54.50000000000001,0.0,5
276,99.5,54.50000000000001,0.0,5
277,99.5,54.0,0.0,5
278,99.5,53.5,0.0,5
279,99.5,53.5,0.0,5
280,99.5,53.5,0.0,5
281,99.5,53.0,0.0,5
282,99.5,52.5,0.0,5
283,99.5,52.0,0.0,5
284,99.5,52.0,0.0,5
285,99.5,51.5,0.0,5
286,99.5,51.5,0.0,5
287,99.5,51.5,0.0,5
288,99.5,51.0,0.0,5
289,99.5,51.0,0.0,5
290,99.5,51.0,0.0,5
291,99.5,51.5,0.0,5
292,99.5,51.5,0.0,5
293,99.5,52.0,0.0,5
294,99.5,51.5,0.0,5
295,99.5,51.5,0.0,5
296,99.5,51.5,0.0,5
297,99.5,51.5,0.0,5
298,99.5,51.5,0.0,5
299,99.5,51.5,0.0,5
300,99.5,51.0,0.0,5
301,99.5,51.5,0.0,5
302,99.5,51.5,0.0,5
303,99.5,51.5,0.0,5
304,99.5,51.5,0.0,5
305,99.5,51.5,0.0,5
306,99.5,51.0,0.0,5
307,99.5,51.0,0.0,5
308,99.5,51.0,0.0,5
309,99.5,51.0,0.0,5
310,99.5,51.5,0.0,5
311,99.5,51.5,0.0,5
312,99.5,51.5,0.0,5
313,99.5,51.0,0.0,5
314,99.5,50.5,0.0,5
315,99.5,50.5,0.0,5
316,99.5,50.5,0.0,5
317,99.5,50.5,0.0,5
318,99.5,50.5,0.0,5
319,99.5,51.0,0.0,5
320,99.5,50.5,0.0,5
321,99.5,50.0,0.0,5
322,99.5,50.0,0.0,5
323,99.5,50.0,0.0,5
324,99.5,49.5,0.0,5
325,99.5,49.5,0.0,5
326,99.5,49.5,0.0,5
327,99.5,49.5,0.0,5
328,99.5,50.0,0.0,5
329,99.5,50.5,0.0,5
330,99.5,50.0,0.0,5
331,100.0,50.5,0.0,5
332,100.0,50.0,0.0,5
333,100.0,50.5,0.0,5
334,100.0,50.0,0.0,5
335,100.0,50.5,0.0,5
336,100.0,50.0,0.0,5
337,100.0,49.5,0.0,5
338,100.0,50.0,0.0,5
339,100.0,50.0,0.0,5
340,100.0,50.5,0.0,5
341,100.0,50.0,0.0,5
342,100.0,50.0,0.0,5
343,100.0,50.0,0.0,5
344,100.0,50.0,0.0,5
345,100.0,50.0,0.0,5
346,100.0,50.0,0.0,5
347,100.0,50.0,0.0,5
348,100.0,50.5,0.0,5
349,100.0,50.5,0.0,5
350,100.0,50.0,0.0,5
351,100.0,50.5,0.0,5
352,100.0,50.0,0.0,5
353,100.0,50.5,0.0,5
354,100.0,50.5,0.0,5
355,100.0,50.0,0.0,5
356,100.0,49.5,0.0,5
357,100.0,50.0,0.0,5
358,100.0,49.5,0.0,5
359,100.0,49.0,0.0,5
360,100.0,49.0,0.0,5
361,100.0,48.5,0.0,5
362,100.0,49.0,0.0,5
363,100.0,48.5,0.0,5
364,100.0,49.0,0.0,5
365,100.0,49.0,0.0,5
366,100.0,48.5,0.0,5
367,100.0,48.5,0.0,5
368,100.0,48.5,0.0,5
369,100.0,48.0,0.0,5
370,100.0,48.5,0.0,5
371,100.0,48.5,0.0,5
372,100.0,49.0,0.0,5
373,100.0,49.5,0.0,5
374,100.0,49.5,0.0,5
375,100.0,49.5,0.0,5
376,100.0,49.0,0.0,5
377,100.0,49.5,0.0,5
378,100.0,49.0,0.0,5
379,100.0,49.0,0.0,5
380,100.0,49.0,0.0,5
381,100.0,49.0,0.0,5
382,100.0,49.5,0.0,5
383,100.0,49.5,0.0,5
384,100.0,49.0,0.0,5
385,100.0,49.0,0.0,5
386,100.0,48.5,0.0,5
387,100.0,48.0,0.0,5
388,100.0,48.0,0.0,5
389,100.0,47.5,0.0,5
390,100.0,47.0,0.0,5
391,100.0,46.5,0.0,5
392,100.0,46.5,0.0,5
393,100.0,47.0,0.0,5
394,100.0,47.0,0.0,5
395,100.0,47.0,0.0,5
396,100.0,47.0,0.0,5
397,100.0,46.5,0.0,5
398,100.0,47.0,0.0,5
399,100.0,46.5,0.0,5
400,100.0,46.0,0.0,5
401,100.0,46.0,0.0,5
402,100.0,46.0,0.0,5
403,100.0,46.0,0.0,5
404,100.0,46.0,0.0,5
405,100.0,45.5,0.0,5
406,100.0,45.5,0.0,5
407,100.0,45.5,0.0,5
408,100.0,45.5,0.0,5
409,100.0,45.0,0.0,5
410,100.0,45.0,0.0,5
411,100.0,45.5,0.0,5
412,100.0,46.0,0.0,5
413,100.0,46.5,0.0,5
414,100.0,46.0,0.0,5
415,100.0,46.5,0.0,5
416,100.0,46.0,0.0,5
417,100.0,46.0,0.0,5
418,100.0,46.0,0.0,5
419,100.0,46.0,0.0,5
420,100.0,46.0,0.0,5
421,100.0,46.0,0.0,5
422,100.0,46.5,0.0,5
423,100.0,46.0,0.0,5
424,100.0,46.5,0.0,5
425,100.0,46.5,0.0,5
426,100.0,46.0,0.0,5
427,100.0,46.0,0.0,5
428,100.0,46.0,0.0,5
429,100.0,46.5,0.0,5
430,100.0,46.5,0.0,5
431,100.0,47.0,0.0,5
432,100.0,46.5,0.0,5
433,100.0,46.5,0.0,5
434,100.0,47.0,0.0,5
435,100.0,46.5,0.0,5
436,100.0,47.0,0.0,5
437,100.0,47.0,0.0,5
438,100.0,46.5,0.0,5
439,100.0,47.0,0.0,5
440,100.0,47.5,0.0,5
441,100.0,47.0,0.0,5
442,100.0,47.0,0.0,5
443,100.0,47.0,0.0,5
444,100.0,47.0,0.0,5
445,100.0,46.5,0.0,5
446,100.0,46.0,0.0,5
447,100.0,45.5,0.0,5
448,100.0,45.0,0.0,5
449,100.0,45.0,0.0,5
450,100.0,44.5,0.0,5
451,100.0,44.5,0.0,5
452,100.0,44.5,0.0,5
453,100.0,45.0,0.0,5
454,100.0,45.5,0.0,5
455,100.0,45.5,0.0,5
456,100.0,45.5,0.0,5
457,100.0,46.0,0.0,5
458,100.0,46.0,0.0,5
459,100.0,46.5,0.0,5
460,100.0,47.0,0.0,5
461,100.0,47.5,0.0,5
462,100.0,47.5,0.0,5
463,100.0,47.5,0.0,5
464,100.0,47.0,0.0,5
465,100.0,47.0,0.0,5
466,100.0,47.5,0.0,5
467,100.0,47.0,0.0,5
468,100.0,47.5,0.0,5
469,100.0,48.0,0.0,5
470,100.0,48.0,0.0,5
471,100.0,48.0,0.0,5
472,100.0,48.0,0.0,5
473,100.0,47.5,0.0,5
474,100.0,47.5,0.0,5
475,100.0,47.5,0.0,5
476,100.0,47.0,0.0,5
477,100.0,47.5,0.0,5
478,100.0,47.5,0.0,5
479,100.0,47.5,0.0,5
480,100.0,48.0,0.0,5
481,100.0,48.0,0.0,5
482,100.0,48.0,0.0,5
483,100.0,48.5,0.0,5
484,100.0,49.0,0.0,5
485,100.0,49.5,0.0,5
486,100.0,49.0,0.0,5
487,100.0,48.5,0.0,5
488,100.0,48.5,0.0,5
489,100.0,48.5,0.0,5
490,100.0,48.5,0.0,5
491,100.0,48.5,0.0,5
492,100.0,48.5,0.0,5
493,100.0,48.0,0.0,5
494,100.0,48.0,0.0,5
495,100.0,48.0,0.0,5
496,100.0,48.5,0.0,5
497,100.0,48.5,0.0,5
498,100.0,48.0,0.0,5
499,100.0,48.0,0.0,5
500,100.0,48.5,0.0,5
501,100.0,48.5,0.0,5
502,100.0,48.5,0.0,5
503,100.0,48.0,0.0,5
504,100.0,48.5,0.0,5
505,100.0,48.5,0.0,5
506,100.0,48.5,0.0,5
507,100.0,48.5,0.0,5
508,100.0,48.5,0.0,5
509,100.0,48.5,0.0,5
510,100.0,48.5,0.0,5
511,100.0,49.0,0.0,5
512,100.0,49.0,0.0,5
513,100.0,49.0,0.0,5
514,100.0,49.0,0.0,5
515,100.0,48.5,0.0,5
516,100.0,48.5,0.0,5
517,100.0,48.0,0.0,5
518,100.0,48.0,0.0,5
519,100.0,47.5,0.0,5
520,100.0,47.5,0.0,5
521,100.0,47.5,0.0,5
522,100.0,47.5,0.0,5
523,100.0,48.0,0.0,5
524,100.0,48.0,0.0,5
525,100.0,48.5,0.0,5
526,100.0,48.5,0.0,5
527,100.0,48.0,0.0,5
528,100.0,47.5,0.0,5
529,100.0,47.5,0.0,5
530,100.0,48.0,0.0,5
531,100.0,47.5,0.0,5
532,100.0,48.0,0.0,5
533,100.0,47.5,0.0,5
534,100.0,48.0,0.0,5
535,100.0,47.5,0.0,5
536,100.0,48.0,0.0,5
537,100.0,48.0,0.0,5
538,100.0,48.0,0.0,5
539,100.0,47.5,0.0,5
540,100.0,47.5,0.0,5
541,100.0,47.5,0.0,5
542,100.0,48.0,0.0,5
543,100.0,48.5,0.0,5
544,100.0,48.5,0.0,5
545,100.0,48.5,0.0,5
546,100.0,48.5,0.0,5
547,100.0,48.0,0.0,5
548,100.0,47.5,0.0,5
549,100.0,47.5,0.0,5
550,100.0,47.5,0.0,5
551,100.0,47.5,0.0,5
552,100.0,47.5,0.0,5
553,100.0,47.0,0.0,5
554,100.0,46.5,0.0,5
555,100.0,47.0,0.0,5
556,100.0,47.0,0.0,5
557,100.0,47.0,0.0,5
558,100.0,47.0,0.0,5
559,100.0,47.0,0.0,5
560,100.0,47.0,0.0,5
561,100.0,47.0,0.0,5
562,100.0,47.0,0.0,5
563,100.0,47.5,0.0,5
564,100.0,47.0,0.0,5
565,100.0,46.5,0.0,5
566,100.0,46.5,0.0,5
567,100.0,47.0,0.0,5
568,100.0,47.5,0.0,5
569,100.0,47.5,0.0,5
570,100.0,47.0,0.0,5
571,100.0,46.5,0.0,5
572,100.0,46.5,0.0,5
573,100.0,46.0,0.0,5
574,100.0,46.5,0.0,5
575,100.0,46.0,0.0,5
576,100.0,46.5,0.0,5
577,100.0,46.0,0.0,5
578,100.0,46.5,0.0,5
579,100.0,47.0,0.0,5
580,100.0,47.0,0.0,5
581,100.0,47.0,0.0,5
582,100.0,46.5,0.0,5
583,100.0,46.5,0.0,5
584,100.0,47.0,0.0,5
585,100.0,46.5,0.0,5
586,100.0,47.0,0.0,5
587,100.0,47.5,0.0,5
588,100.0,47.5,0.0,5
589,100.0,47.5,0.0,5
590,100.0,48.0,0.0,5
