device,mode,batch_tokens,hidden_dim,expansion_dim,rank,dtype,trials,avg_ms,std_ms,min_ms,max_ms,ci95_ms,tflops,bytes_gb,arithmetic_intensity
npu:0,ephemeral,32,2048,8192,128,float16,5,0.03290537744760513,0.000994340350791973,0.031463801860809326,0.03406088799238205,0.0008715777459196006,2.549312194749046,0.003284992,25.536159600997507
npu:0,ephemeral,32,2048,8192,192,float16,5,0.03219466656446457,0.0006924224871563788,0.03137458115816116,0.03310441970825195,0.000606935070169006,3.9083840097566376,0.004599808,27.355298308103293
npu:0,ephemeral,32,2048,8192,256,float16,5,0.03400638699531555,0.0037746088002080782,0.03167577087879181,0.04072282463312149,0.0033085904913678003,4.93354851319874,0.005914624,28.365650969529085
npu:0,ephemeral,32,4096,16384,8,float16,5,0.07234357297420502,0.0033277183069224917,0.07009059190750122,0.07822718471288681,0.0029168737029456864,0.14494390543495586,0.001638912,6.398000624804749
npu:0,ephemeral,32,4096,16384,16,float16,5,0.03261357545852661,0.0005454169365499423,0.03208983689546585,0.033482350409030914,0.00047807902371250127,0.6430303855113542,0.001967104,10.661114003123373
npu:0,ephemeral,32,4096,16384,24,float16,5,0.06674963980913162,0.0027669396066413274,0.06233118474483491,0.06979778409004211,0.0024253294996339223,0.4712726554023519,0.002295296,13.705108186482267
npu:0,ephemeral,32,4096,16384,32,float16,5,0.033318549394607544,0.001059360991143294,0.03208331763744354,0.03447476774454117,0.0009285708500519196,1.258849522626225,0.002623488,15.987509758001561
npu:0,ephemeral,32,4096,16384,48,float16,5,0.033065155148506165,0.0008467039619946666,0.03215186297893524,0.03405362367630005,0.0007421687454086814,1.9027450413412739,0.003279872,19.182016859194505
npu:0,ephemeral,32,4096,16384,64,float16,5,0.033268071711063385,0.0008526796103051651,0.032258033752441406,0.03460738807916641,0.0007474066320947887,2.5215191529151197,0.003936256,21.311134235171696
npu:0,ephemeral,32,4096,16384,96,float16,5,0.03385506570339203,0.0019522761585982716,0.031799450516700745,0.035990774631500244,0.001711245502979335,3.7166999202542637,0.005249024,23.971907920405773
npu:0,ephemeral,32,4096,16384,128,float16,5,0.03282863646745682,0.0011257618687800783,0.030975602567195896,0.03380104899406433,0.0009867737855072255,5.110543051835655,0.006561792,25.56803995006242
npu:0,ephemeral,32,4096,16384,192,float16,5,0.03888029605150223,0.005416862182929248,0.03482326865196228,0.04776734858751297,0.004748089049784858,6.472642072134546,0.009187328,27.39188586714222
npu:0,ephemeral,32,4096,16384,256,float16,5,0.03724485635757446,0.006018090722831068,0.0324813649058342,0.04740413278341293,0.005275089100796356,9.009145230110697,0.011812864,28.40499306518724
