trial,device,mode,batch_tokens,hidden_dim,expansion_dim,rank,dtype,avg_ms,tflops,bytes_gb,arithmetic_intensity
1,npu:0,ephemeral,8,4096,16384,16,float16,0.03669634461402893,0.14287199597519745,0.000983296,5.331944806040093
1,npu:0,ephemeral,8,4096,16384,32,float16,0.048048049211502075,0.21823487471557632,0.001638912,6.398000624804749
1,npu:0,ephemeral,8,4096,16384,64,float16,0.03386940807104111,0.6191876739036071,0.002950144,7.1086428323498785
1,npu:0,ephemeral,8,4096,16384,128,float16,0.03621727228164673,1.158094946351187,0.005572608,7.526644615950018
1,npu:0,dense,32,4096,16384,0,float16,0.07746219635009766,55.445978791880535,0.135528448,31.690522243713733
1,npu:0,ephemeral,32,4096,16384,16,float16,0.03171414136886597,0.6612671538567307,0.001967104,10.661114003123373
1,npu:0,ephemeral,32,4096,16384,32,float16,0.03219377249479294,1.3028308504939556,0.002623488,15.987509758001561
1,npu:0,ephemeral,32,4096,16384,64,float16,0.03206022083759308,2.616515975511844,0.003936256,21.311134235171696
1,npu:0,ephemeral,32,4096,16384,128,float16,0.03457888960838318,4.851866612840162,0.006561792,25.56803995006242
2,npu:0,dense,1,1024,4096,0,float16,0.020129047334194183,0.41674143146108394,0.008398848,0.9987807851743478
2,npu:0,ephemeral,1,1024,4096,16,float16,0.03501772880554199,0.004678772884153192,0.000174112,0.9410034920051461
2,npu:0,ephemeral,1,1024,4096,32,float16,0.04032943397760391,0.008125083039399216,0.000337984,0.9695133497443666
2,npu:0,ephemeral,1,1024,4096,64,float16,0.033753737807273865,0.019415923763523787,0.000665728,0.9844260719092482
2,npu:0,ephemeral,1,1024,4096,128,float16,0.033793412148952484,0.03878625793165515,0.001321216,0.9920558031389266
2,npu:0,dense,8,1024,4096,0,float16,0.02080518752336502,3.225583231327964,0.008470528,7.922630560928433
2,npu:0,ephemeral,8,1024,4096,16,float16,0.031926482915878296,0.041054318555963684,0.000246016,5.327783558792924
2,npu:0,ephemeral,8,1024,4096,32,float16,0.03152675926685333,0.08314968176117407,0.000410112,6.392009987515605
2,npu:0,ephemeral,8,1024,4096,64,float16,0.032026506960392,0.16370439668878045,0.000738304,7.10124826629681
2,npu:0,ephemeral,8,1024,4096,128,float16,0.03130082041025162,0.33499952597299054,0.001394688,7.518355359765051
2,npu:0,dense,32,1024,4096,0,float16,0.01972801983356476,13.606811948926097,0.008716288,30.796992481203006
2,npu:0,ephemeral,32,1024,4096,16,float16,0.03142841160297394,0.16681975742941743,0.000492544,10.644490644490645
2,npu:0,ephemeral,32,1024,4096,32,float16,0.031201913952827457,0.3360614357136191,0.000657408,15.950155763239875
2,npu:0,ephemeral,32,1024,4096,64,float16,0.031033344566822055,0.6757737618271665,0.000987136,21.244813278008298
2,npu:0,ephemeral,32,1024,4096,128,float16,0.03362484276294708,1.2473824872786963,0.001646592,25.4726368159204
2,npu:0,dense,1,2048,8192,0,float16,0.02768486738204956,1.2120134634185091,0.033574912,0.9993900207392948
2,npu:0,ephemeral,1,2048,8192,16,float16,0.03330390900373459,0.009839085254624466,0.000348192,0.9410899733480379
2,npu:0,ephemeral,1,2048,8192,32,float16,0.03186166286468506,0.020568920171658404,0.000675904,0.9696051510273649
2,npu:0,ephemeral,1,2048,8192,64,float16,0.03149285912513733,0.04161959366064019,0.001331328,0.9845207191616191
2,npu:0,ephemeral,1,2048,8192,128,float16,0.031813234090805054,0.08240092763023023,0.002642176,0.9921519232632496
2,npu:0,dense,8,2048,8192,0,float16,0.04477091133594513,5.995755904671115,0.033718272,7.961127308066083
2,npu:0,ephemeral,8,2048,8192,16,float16,0.03354642540216446,0.07814364626255713,0.000491776,5.3305570015616865
2,npu:0,ephemeral,8,2048,8192,32,float16,0.032387301325798035,0.16188073057583824,0.000819712,6.396002498438476
2,npu:0,ephemeral,8,2048,8192,64,float16,0.03107376396656036,0.33744737236480643,0.001475584,7.10617626648161
2,npu:0,ephemeral,8,2048,8192,128,float16,0.03201570361852646,0.655038547641491,0.002787328,7.523879500367377
2,npu:0,dense,32,2048,8192,0,float16,0.027025118470191956,39.73125317412802,0.034209792,31.386973180076627
2,npu:0,ephemeral,32,2048,8192,16,float16,0.03262888640165329,0.32136432334597514,0.000984064,10.655567117585848
2,npu:0,ephemeral,32,2048,8192,32,float16,0.03139376640319824,0.6680154184323523,0.001312768,15.975039001560063
2,npu:0,ephemeral,32,2048,8192,64,float16,0.03150682896375656,1.3312364772808012,0.001970176,21.28898128898129
2,npu:0,ephemeral,32,2048,8192,128,float16,0.032283179461956024,2.5984454257008727,0.003284992,25.536159600997507
2,npu:0,dense,1,4096,16384,0,float16,0.09975545108318329,1.345467606457712,0.134258688,0.9996949173225944
2,npu:0,ephemeral,1,4096,16384,16,float16,0.03168173134326935,0.020685738190858956,0.000696352,0.9411332199806994
2,npu:0,ephemeral,1,4096,16384,32,float16,0.03257039934396744,0.040242675140633996,0.001351744,0.9696510581885327
2,npu:0,ephemeral,1,4096,16384,64,float16,0.03173183649778366,0.08261230011641768,0.002662528,0.9845680496129994
2,npu:0,ephemeral,1,4096,16384,128,float16,0.039262883365154266,0.13353272991287865,0.005284096,0.992199990310547
2,npu:0,dense,8,4096,16384,0,float16,0.0835685059428215,12.848642103697127,0.134545408,7.980516317584024
2,npu:0,ephemeral,8,4096,16384,16,float16,0.07132049649953842,0.07351154657250503,0.000983296,5.331944806040093
2,npu:0,ephemeral,8,4096,16384,32,float16,0.032741762697696686,0.32025642897771206,0.001638912,6.398000624804749
2,npu:0,ephemeral,8,4096,16384,64,float16,0.03416035324335098,0.6139140263159288,0.002950144,7.1086428323498785
2,npu:0,ephemeral,8,4096,16384,128,float16,0.03482624888420105,1.2043513540451234,0.005572608,7.526644615950018
2,npu:0,dense,32,4096,16384,0,float16,0.07786042988300323,55.16238868002426,0.135528448,31.690522243713733
2,npu:0,ephemeral,32,4096,16384,16,float16,0.03212783485651016,0.652752359244354,0.001967104,10.661114003123373
