trial,scenario,mode,batch_tokens,hidden_dim,expansion_dim,rank,basis_size,dtype,avg_ms
1,ffn,static_ephemeral,8,2048,8192,64,0,float16,0.07594414055347443
1,ffn,dynamic_ephemeral,8,2048,8192,64,8,float16,0.3192143514752388
1,swiglu,static_ephemeral,8,2048,8192,64,0,float16,0.11835955083370209
1,swiglu,dynamic_ephemeral,8,2048,8192,64,8,float16,0.4595493897795677
1,ffn,dense,1,4096,16384,0,0,float16,0.27055833488702774
1,swiglu,dense,1,4096,16384,0,0,float16,0.4136977717280388
1,ffn,static_ephemeral,1,4096,16384,16,0,float16,0.07883813232183456
1,ffn,dynamic_ephemeral,1,4096,16384,16,8,float16,0.35156775265932083
1,swiglu,static_ephemeral,1,4096,16384,16,0,float16,0.12251753360033037
1,swiglu,dynamic_ephemeral,1,4096,16384,16,8,float16,0.5324292927980423
1,ffn,static_ephemeral,1,4096,16384,32,0,float16,0.0795610249042511
1,ffn,dynamic_ephemeral,1,4096,16384,32,8,float16,0.38500092923641205
1,swiglu,static_ephemeral,1,4096,16384,32,0,float16,0.13104937970638275
1,swiglu,dynamic_ephemeral,1,4096,16384,32,8,float16,0.5176914855837822
1,ffn,static_ephemeral,1,4096,16384,64,0,float16,0.0783657655119896
1,ffn,dynamic_ephemeral,1,4096,16384,64,8,float16,0.3818109631538391
1,swiglu,static_ephemeral,1,4096,16384,64,0,float16,0.12347400188446046
1,swiglu,dynamic_ephemeral,1,4096,16384,64,8,float16,0.5480771884322166
1,ffn,dense,8,4096,16384,0,0,float16,0.23924950510263443
1,swiglu,dense,8,4096,16384,0,0,float16,0.4712933674454689
1,ffn,static_ephemeral,8,4096,16384,16,0,float16,0.08042678236961365
1,ffn,dynamic_ephemeral,8,4096,16384,16,8,float16,0.4167873412370682
1,swiglu,static_ephemeral,8,4096,16384,16,0,float16,0.12396033853292465
1,swiglu,dynamic_ephemeral,8,4096,16384,16,8,float16,0.6009029224514961
1,ffn,static_ephemeral,8,4096,16384,32,0,float16,0.07946845144033432
1,ffn,dynamic_ephemeral,8,4096,16384,32,8,float16,0.44230297207832336
1,swiglu,static_ephemeral,8,4096,16384,32,0,float16,0.12355949729681015
1,swiglu,dynamic_ephemeral,8,4096,16384,32,8,float16,0.6131958216428757
1,ffn,static_ephemeral,8,4096,16384,64,0,float16,0.07979869842529297
1,ffn,dynamic_ephemeral,8,4096,16384,64,8,float16,0.5009287968277931
1,swiglu,static_ephemeral,8,4096,16384,64,0,float16,0.12435633689165115
1,swiglu,dynamic_ephemeral,8,4096,16384,64,8,float16,0.748128816485405
1,ffn,dense,1,8192,32768,0,0,float16,1.5034962445497513
1,swiglu,dense,1,8192,32768,0,0,float16,2.064516209065914
1,ffn,static_ephemeral,1,8192,32768,16,0,float16,0.09589102119207382
1,ffn,dynamic_ephemeral,1,8192,32768,16,8,float16,0.3906877711415291
1,swiglu,static_ephemeral,1,8192,32768,16,0,float16,0.12618284672498703
1,swiglu,dynamic_ephemeral,1,8192,32768,16,8,float16,0.5625693127512932
1,ffn,static_ephemeral,1,8192,32768,32,0,float16,0.08247904479503632
1,ffn,dynamic_ephemeral,1,8192,32768,32,8,float16,0.4608249291777611
1,swiglu,static_ephemeral,1,8192,32768,32,0,float16,0.132814422249794
1,swiglu,dynamic_ephemeral,1,8192,32768,32,8,float16,0.687352754175663
1,ffn,static_ephemeral,1,8192,32768,64,0,float16,0.09903460741043091
1,ffn,dynamic_ephemeral,1,8192,32768,64,8,float16,0.7330046966671944
1,swiglu,static_ephemeral,1,8192,32768,64,0,float16,0.12621209025382996
1,swiglu,dynamic_ephemeral,1,8192,32768,64,8,float16,1.0727427899837494
1,ffn,dense,8,8192,32768,0,0,float16,1.44242811948061
1,swiglu,dense,8,8192,32768,0,0,float16,2.050156891345978
1,ffn,static_ephemeral,8,8192,32768,16,0,float16,0.1049460843205452
1,ffn,dynamic_ephemeral,8,8192,32768,16,8,float16,0.4075855016708374
1,swiglu,static_ephemeral,8,8192,32768,16,0,float16,0.13968367129564285
1,swiglu,dynamic_ephemeral,8,8192,32768,16,8,float16,0.5872583016753197
1,ffn,static_ephemeral,8,8192,32768,32,0,float16,0.1038605347275734
1,ffn,dynamic_ephemeral,8,8192,32768,32,8,float16,0.48383399844169617
1,swiglu,static_ephemeral,8,8192,32768,32,0,float16,0.13521946966648102
1,swiglu,dynamic_ephemeral,8,8192,32768,32,8,float16,0.7021734490990639
1,ffn,static_ephemeral,8,8192,32768,64,0,float16,0.0906793400645256
1,ffn,dynamic_ephemeral,8,8192,32768,64,8,float16,0.7433397695422173
1,swiglu,static_ephemeral,8,8192,32768,64,0,float16,0.14173798263072968
1,swiglu,dynamic_ephemeral,8,8192,32768,64,8,float16,1.0894455015659332
2,ffn,dense,1,2048,8192,0,0,float16,0.057305581867694855
2,swiglu,dense,1,2048,8192,0,0,float16,0.11805873364210129
2,ffn,static_ephemeral,1,2048,8192,16,0,float16,0.08226167410612106
2,ffn,dynamic_ephemeral,1,2048,8192,16,8,float16,0.2791900187730789
2,swiglu,static_ephemeral,1,2048,8192,16,0,float16,0.13573039323091507
2,swiglu,dynamic_ephemeral,1,2048,8192,16,8,float16,0.4086952656507492
2,ffn,static_ephemeral,1,2048,8192,32,0,float16,0.08258931338787079
2,ffn,dynamic_ephemeral,1,2048,8192,32,8,float16,0.301373191177845
2,swiglu,static_ephemeral,1,2048,8192,32,0,float16,0.12744814157485962
2,swiglu,dynamic_ephemeral,1,2048,8192,32,8,float16,0.43188054114580154
2,ffn,static_ephemeral,1,2048,8192,64,0,float16,0.0840974971652031
2,ffn,dynamic_ephemeral,1,2048,8192,64,8,float16,0.32811500132083893
2,swiglu,static_ephemeral,1,2048,8192,64,0,float16,0.12105535715818405
2,swiglu,dynamic_ephemeral,1,2048,8192,64,8,float16,0.49458667635917664
2,ffn,dense,8,2048,8192,0,0,float16,0.06800778210163116
2,swiglu,dense,8,2048,8192,0,0,float16,0.09206030517816544
2,ffn,static_ephemeral,8,2048,8192,16,0,float16,0.07898770272731781
2,ffn,dynamic_ephemeral,8,2048,8192,16,8,float16,0.2974683418869972
2,swiglu,static_ephemeral,8,2048,8192,16,0,float16,0.1193048432469368
2,swiglu,dynamic_ephemeral,8,2048,8192,16,8,float16,0.42061246931552887
2,ffn,static_ephemeral,8,2048,8192,32,0,float16,0.07614996284246445
2,ffn,dynamic_ephemeral,8,2048,8192,32,8,float16,0.3168255090713501
2,swiglu,static_ephemeral,8,2048,8192,32,0,float16,0.12011714279651642
2,swiglu,dynamic_ephemeral,8,2048,8192,32,8,float16,0.4646670073270798
2,ffn,static_ephemeral,8,2048,8192,64,0,float16,0.07806438952684402
2,ffn,dynamic_ephemeral,8,2048,8192,64,8,float16,0.34807920455932617
2,swiglu,static_ephemeral,8,2048,8192,64,0,float16,0.12038275599479675
2,swiglu,dynamic_ephemeral,8,2048,8192,64,8,float16,0.5187338218092918
2,ffn,dense,1,4096,16384,0,0,float16,0.2989845350384712
2,swiglu,dense,1,4096,16384,0,0,float16,0.45337770134210587
2,ffn,static_ephemeral,1,4096,16384,16,0,float16,0.08295886218547821
2,ffn,dynamic_ephemeral,1,4096,16384,16,8,float16,0.3882305696606636
2,swiglu,static_ephemeral,1,4096,16384,16,0,float16,0.12309718877077103
2,swiglu,dynamic_ephemeral,1,4096,16384,16,8,float16,0.5750084295868874
2,ffn,static_ephemeral,1,4096,16384,32,0,float16,0.08398685604333878
2,ffn,dynamic_ephemeral,1,4096,16384,32,8,float16,0.4223903641104698
2,swiglu,static_ephemeral,1,4096,16384,32,0,float16,0.12446641921997069
2,swiglu,dynamic_ephemeral,1,4096,16384,32,8,float16,0.5962507799267769
2,ffn,static_ephemeral,1,4096,16384,64,0,float16,0.080149807035923
2,ffn,dynamic_ephemeral,1,4096,16384,64,8,float16,0.49899015575647354
2,swiglu,static_ephemeral,1,4096,16384,64,0,float16,0.12668874114751816
2,swiglu,dynamic_ephemeral,1,4096,16384,64,8,float16,0.7302852347493172
2,ffn,dense,8,4096,16384,0,0,float16,0.288955494761467
2,swiglu,dense,8,4096,16384,0,0,float16,0.4766864702105522
2,ffn,static_ephemeral,8,4096,16384,16,0,float16,0.08393470197916031
2,ffn,dynamic_ephemeral,8,4096,16384,16,8,float16,0.4208933562040329
2,swiglu,static_ephemeral,8,4096,16384,16,0,float16,0.13201721012592316
2,swiglu,dynamic_ephemeral,8,4096,16384,16,8,float16,0.5786780267953873
2,ffn,static_ephemeral,8,4096,16384,32,0,float16,0.08414778858423233
2,ffn,dynamic_ephemeral,8,4096,16384,32,8,float16,0.43593235313892365
2,swiglu,static_ephemeral,8,4096,16384,32,0,float16,0.1321917399764061
2,swiglu,dynamic_ephemeral,8,4096,16384,32,8,float16,0.622408464550972
2,ffn,static_ephemeral,8,4096,16384,64,0,float16,0.0840773805975914
2,ffn,dynamic_ephemeral,8,4096,16384,64,8,float16,0.5055343732237816
2,swiglu,static_ephemeral,8,4096,16384,64,0,float16,0.13391636312007904
2,swiglu,dynamic_ephemeral,8,4096,16384,64,8,float16,0.759759359061718
2,ffn,dense,1,8192,32768,0,0,float16,1.440609060227871
2,swiglu,dense,1,8192,32768,0,0,float16,2.0986266434192657
2,ffn,static_ephemeral,1,8192,32768,16,0,float16,0.09438246488571167
2,ffn,dynamic_ephemeral,1,8192,32768,16,8,float16,0.3851570188999176
2,swiglu,static_ephemeral,1,8192,32768,16,0,float16,0.1383572816848755
2,swiglu,dynamic_ephemeral,1,8192,32768,16,8,float16,0.5654765293002129
2,ffn,static_ephemeral,1,8192,32768,32,0,float16,0.1013847067952156
2,ffn,dynamic_ephemeral,1,8192,32768,32,8,float16,0.45981239527463913
2,swiglu,static_ephemeral,1,8192,32768,32,0,float16,0.13528931885957718
2,swiglu,dynamic_ephemeral,1,8192,32768,32,8,float16,0.6761215627193451
2,ffn,static_ephemeral,1,8192,32768,64,0,float16,0.1025347039103508
2,ffn,dynamic_ephemeral,1,8192,32768,64,8,float16,0.7250070571899414
2,swiglu,static_ephemeral,1,8192,32768,64,0,float16,0.1455165445804596
2,swiglu,dynamic_ephemeral,1,8192,32768,64,8,float16,1.0495919734239578
2,ffn,dense,8,8192,32768,0,0,float16,1.430092379450798
2,swiglu,dense,8,8192,32768,0,0,float16,2.000770717859268
2,ffn,static_ephemeral,8,8192,32768,16,0,float16,0.12823045253753662
2,ffn,dynamic_ephemeral,8,8192,32768,16,8,float16,0.36085639148950577
2,swiglu,static_ephemeral,8,8192,32768,16,0,float16,0.14054253697395325
2,swiglu,dynamic_ephemeral,8,8192,32768,16,8,float16,0.5236933007836342
2,ffn,static_ephemeral,8,8192,32768,32,0,float16,0.09064096957445145
2,ffn,dynamic_ephemeral,8,8192,32768,32,8,float16,0.40916427969932556
2,swiglu,static_ephemeral,8,8192,32768,32,0,float16,0.13311486691236496
2,swiglu,dynamic_ephemeral,8,8192,32768,32,8,float16,0.59389378875494
2,ffn,static_ephemeral,8,8192,32768,64,0,float16,0.09178146719932556
2,ffn,dynamic_ephemeral,8,8192,32768,64,8,float16,0.6676413118839264
2,swiglu,static_ephemeral,8,8192,32768,64,0,float16,0.1431625336408615
2,swiglu,dynamic_ephemeral,8,8192,32768,64,8,float16,0.9800478816032409
