scenario,mode,batch_tokens,hidden_dim,expansion_dim,rank,basis_size,dtype,trials,avg_ms,std_ms,min_ms,max_ms,ci95_ms
moe_top2,static_ephemeral,32,8192,32768,64,0,float16,3,0.35562018553415936,0.003271468039186304,0.3526007756590843,0.35909581929445267,0.0037020145880161605
swiglu,dense,1,2048,8192,0,0,float16,3,0.13764332979917526,0.07458757655248652,0.08659716695547104,0.22324156016111374,0.08440378850552863
swiglu,dense,1,4096,16384,0,0,float16,3,0.43371953070163727,0.013767299133462743,0.4178505390882492,0.4424724727869034,0.01557916556700888
swiglu,dense,1,8192,32768,0,0,float16,3,2.0415163909395537,0.08338243177347851,1.9623247906565668,2.1285373717546463,0.09435610408300271
swiglu,dense,8,2048,8192,0,0,float16,3,0.28435830026865005,0.3036339403917742,0.08258670568466187,0.6335578858852386,0.3435941489517834
swiglu,dense,8,4096,16384,0,0,float16,3,0.4851105312506358,0.06996232550093907,0.40471330285072327,0.5321605131030083,0.0791698242237548
swiglu,dense,8,8192,32768,0,0,float16,3,2.0645088205734887,0.05572185200278739,2.0080650225281715,2.119479514658451,0.06305521145696542
swiglu,dense,32,2048,8192,0,0,float16,3,0.11431872844696045,0.01670879189493846,0.09879749268293381,0.13200417160987854,0.01890777797681727
swiglu,dense,32,4096,16384,0,0,float16,3,0.47940146178007126,0.01926000265247175,0.45737680047750473,0.4930846393108368,0.021794744723355044
swiglu,dense,32,8192,32768,0,0,float16,3,2.353813871741295,0.11851795467778012,2.243358828127384,2.4790147319436073,0.1341156911525596
swiglu,dynamic_ephemeral,1,2048,8192,16,8,float16,3,0.6884911408027014,0.23650730790449206,0.41583292186260223,0.8381929248571396,0.2676332134525855
swiglu,dynamic_ephemeral,1,2048,8192,32,8,float16,3,0.5958277111252149,0.18512457079030176,0.44453665614128113,0.8022569119930267,0.20948817272761353
swiglu,dynamic_ephemeral,1,2048,8192,64,8,float16,3,0.4872601479291916,0.1143534097444494,0.36596525460481644,0.5931001156568527,0.1294030649214705
swiglu,dynamic_ephemeral,1,4096,16384,16,8,float16,3,0.60552346209685,0.07843898025144544,0.5552126094698906,0.6959037855267525,0.08876206207173826
swiglu,dynamic_ephemeral,1,4096,16384,32,8,float16,3,0.7029922058184942,0.10743394561191787,0.5978615954518318,0.8125901222229004,0.12157295414152303
swiglu,dynamic_ephemeral,1,4096,16384,64,8,float16,3,0.7441315179069837,0.004919286637061503,0.7386548444628716,0.7481751963496208,0.005566696869691639
swiglu,dynamic_ephemeral,1,8192,32768,16,8,float16,3,0.6736710046728452,0.1408100735335893,0.5781721323728561,0.8353829383850098,0.1593415983640884
