scenario,mode,batch_tokens,hidden_dim,expansion_dim,rank,basis_size,dtype,trials,avg_ms,std_ms,min_ms,max_ms,ci95_ms
swiglu,dense,8,8192,32768,0,0,float16,3,2.0073754092057547,0.03989133586400928,1.9711986184120178,2.050156891345978,0.04514129605886228
swiglu,dynamic_ephemeral,1,2048,8192,16,8,float16,3,0.3927234560251236,0.02486041243251896,0.36408044397830963,0.4086952656507492,0.028132204987756683
swiglu,dynamic_ephemeral,1,2048,8192,32,8,float16,3,0.41987312336762744,0.03086376247979742,0.3848101943731308,0.44292863458395004,0.034925635088794794
swiglu,dynamic_ephemeral,1,2048,8192,64,8,float16,3,0.5220261712869009,0.10667184872301,0.43175462633371353,0.6397372111678123,0.12071056032736234
swiglu,dynamic_ephemeral,1,4096,16384,16,8,float16,3,0.5546498422821363,0.021350547997388083,0.5324292927980423,0.5750084295868874,0.02416041948193055
swiglu,dynamic_ephemeral,1,4096,16384,32,8,float16,3,0.5697366471091906,0.045075112335711924,0.5176914855837822,0.5962507799267769,0.05100729135192077
swiglu,dynamic_ephemeral,1,4096,16384,64,8,float16,3,0.6086095546682676,0.10537467274746179,0.5474662408232689,0.7302852347493172,0.11924266752597094
swiglu,dynamic_ephemeral,1,8192,32768,16,8,float16,3,0.5408776924014091,0.040115057038910204,0.4945872351527214,0.5654765293002129,0.045394460400745115
swiglu,dynamic_ephemeral,1,8192,32768,32,8,float16,3,0.649701493481795,0.055770838300742726,0.5856301635503769,0.687352754175663,0.06311064467149521
swiglu,dynamic_ephemeral,1,8192,32768,64,8,float16,3,1.0270052899916966,0.06029208577662365,0.9586811065673828,1.0727427899837494,0.06822691782814984
swiglu,dynamic_ephemeral,8,2048,8192,16,8,float16,3,0.4064656173189481,0.02311687812171658,0.379788875579834,0.42061246931552887,0.026159210180537806
swiglu,dynamic_ephemeral,8,2048,8192,32,8,float16,3,0.4434988523523013,0.029131375879552585,0.41027478873729706,0.4646670073270798,0.03296525510361076
swiglu,dynamic_ephemeral,8,2048,8192,64,8,float16,3,0.4997675617535909,0.034848702541247556,0.4595493897795677,0.5210194736719131,0.03943501927447301
swiglu,dynamic_ephemeral,8,4096,16384,16,8,float16,3,0.5717643847068151,0.033140703821406006,0.5357122048735619,0.6009029224514961,0.03750223677394794
swiglu,dynamic_ephemeral,8,4096,16384,32,8,float16,3,0.597930575410525,0.03472543454419849,0.5581874400377274,0.622408464550972,0.03929552840436667
swiglu,dynamic_ephemeral,8,4096,16384,64,8,float16,3,0.7203834131360054,0.05841895263130414,0.6532620638608932,0.759759359061718,0.06610726813382051
swiglu,dynamic_ephemeral,8,8192,32768,16,8,float16,3,0.543156328300635,0.03828100801080609,0.5185173824429512,0.5872583016753197,0.043319038548582676
