device,mode,batch_tokens,hidden_dim,expansion_dim,rank,dtype,trials,avg_ms,std_ms,min_ms,max_ms,ci95_ms,tflops,bytes_gb,arithmetic_intensity
npu:0,ephemeral,1,2048,8192,16,float16,5,0.03338221460580826,0.0016602227230056597,0.031717680394649506,0.035241805016994476,0.0014552493796407399,0.009816005434911625,0.000348192,0.9410899733480379
npu:0,ephemeral,1,2048,8192,32,float16,5,0.0333501398563385,0.0014645454650252198,0.03186166286468506,0.03504510968923569,0.0012837307006466894,0.01965089210489301,0.000675904,0.9696051510273649
npu:0,ephemeral,1,2048,8192,64,float16,5,0.033522024750709534,0.0024809960904856685,0.03149285912513733,0.03681536763906479,0.002174688956812972,0.039100263475948215,0.001331328,0.9845207191616191
npu:0,ephemeral,1,2048,8192,128,float16,5,0.03381647169589996,0.0028437021287683164,0.031164847314357758,0.0384284183382988,0.0024926148169332313,0.07751961894705393,0.002642176,0.9921519232632496
npu:0,ephemeral,1,4096,16384,16,float16,5,0.03611452877521515,0.006644322788415672,0.031002238392829895,0.047362782061100006,0.005824005708384571,0.018146713309734882,0.000696352,0.9411332199806994
npu:0,ephemeral,1,4096,16384,32,float16,5,0.03272976726293564,0.0012930116410571973,0.03115385770797729,0.034336186945438385,0.0011333746746401607,0.04004672533936122,0.001351744,0.9696510581885327
npu:0,ephemeral,1,4096,16384,64,float16,5,0.03572467714548111,0.006215758114986355,0.03173183649778366,0.04647187888622284,0.0054483522093077335,0.07337896964959953,0.002662528,0.9845680496129994
npu:0,ephemeral,1,4096,16384,128,float16,5,0.0362444669008255,0.004697809635889194,0.03160834312438965,0.04236139357089996,0.004117811702951095,0.14465325188382308,0.005284096,0.992199990310547
npu:0,ephemeral,8,1024,4096,16,float16,5,0.03317069262266159,0.001663545877702223,0.03151874989271164,0.03525000065565109,0.0014581622531628351,0.039514399500495845,0.000246016,5.327783558792924
npu:0,ephemeral,8,1024,4096,32,float16,5,0.03318924456834793,0.0027626957477366485,0.03152675926685333,0.038093142211437225,0.0024216095932907927,0.07898462390734941,0.000410112,6.392009987515605
npu:0,ephemeral,8,1024,4096,64,float16,5,0.03275487571954727,0.0013765614597208865,0.031345710158348083,0.034798868000507355,0.0012066093196637583,0.16006410907769628,0.000738304,7.10124826629681
npu:0,ephemeral,8,1024,4096,128,float16,5,0.033900775015354156,0.0021689985094819906,0.03130082041025162,0.0372888520359993,0.0019012110192366016,0.30930738295070975,0.001394688,7.518355359765051
npu:0,ephemeral,8,2048,8192,16,float16,5,0.03334708511829376,0.0014747148543281905,0.03155432641506195,0.03537368029356003,0.0012926445633889613,0.07861076884833672,0.000491776,5.3305570015616865
npu:0,ephemeral,8,2048,8192,32,float16,5,0.03314066678285599,0.0017243653867477513,0.030545704066753384,0.03492385149002075,0.0015114729033437492,0.1582008000729846,0.000819712,6.396002498438476
npu:0,ephemeral,8,2048,8192,64,float16,5,0.03326192498207092,0.0024546177023108805,0.03107376396656036,0.037080422043800354,0.0021515672801274565,0.31524814049854627,0.001475584,7.10617626648161
npu:0,ephemeral,8,2048,8192,128,float16,5,0.032893866300582886,0.0006644664169120316,0.03201570361852646,0.03384388983249664,0.0005824304941765593,0.6375510804465204,0.002787328,7.523879500367377
npu:0,ephemeral,8,4096,16384,16,float16,5,0.041513592004776,0.016784951149732063,0.03174822777509689,0.07132049649953842,0.014712658373767142,0.12629309454592186,0.000983296,5.331944806040093
